Results of Simulation 1

Time	Oral_input_uM	C_rest	C_elim	A_total
69.75	1.94822e-09	0.0407802	16.2902	2.94
70	1.51728e-09	0.0382477	16.2919	2.94
70.25	1.18166e-09	0.0358725	16.2935	2.94
70.5	9.20275e-10	0.0336448	16.2951	2.94
70.75	7.16711e-10	0.0315554	16.2965	2.94
71	5.58175e-10	0.0295958	16.2978	2.94
71.25	4.34707e-10	0.0277578	16.2991	2.94
71.5	3.3855e-10	0.026034	16.3002	2.94
71.75	2.63663e-10	0.0244173	16.3013	2.94
72	0	0.022901	16.3024	2.94
72.25	4.23614	1.73393	16.3426	3.15678
72.5	3.29911	2.95992	16.4464	3.3256
72.75	2.56935	3.81476	16.5952	3.45708
73	2.00101	4.38677	16.7748	3.55948
73.25	1.55839	4.74432	16.9744	3.63923
73.5	1.21367	4.94032	17.1859	3.70133
73.75	0.94521	5.01562	17.4032	3.7497
74	0.73613	5.00172	17.6217	3.78737
74.25	0.573299	4.92287	17.8381	3.81671
74.5	0.446486	4.79764	18.0501	3.83956
74.75	0.347723	4.64027	18.2558	3.85735
75	0.270807	4.46158	18.4541	3.87121
75.25	0.210905	4.26977	18.6444	3.882
75.5	0.164253	4.07101	18.8261	3.89041
75.75	0.12792	3.86991	18.9992	3.89695
76	0.0996244	3.66985	19.1634	3.90205
76.25	0.0775876	3.47332	19.319	3.90602
76.5	0.0604252	3.28205	19.4662	3.90911
76.75	0.0470592	3.09725	19.6051	3.91152
77	0.0366498	2.91972	19.7362	3.9134
77.25	0.0285429	2.74994	19.8597	3.91486
77.5	0.0222292	2.58816	19.976	3.91599
77.75	0.0173121	2.43443	20.0854	3.91688
78	0.0134827	2.2887	20.1883	3.91757
78.25	0.0105003	2.15081	20.2849	3.91811
78.5	0.00817767	2.02055	20.3758	3.91853
78.75	0.00636877	1.89764	20.4611	3.91885
79	0.00496001	1.7818	20.5413	3.91911
79.25	0.00386286	1.67271	20.6165	3.9193
79.5	0.0030084	1.57005	20.6871	3.91946
79.75	0.00234294	1.4735	20.7534	3.91958
80	0.00182468	1.38273	20.8156	3.91967
