"strName","strCAS","CAS","httk","ToxCast","Tox21","NHANES","ExpoCast","Boiling Point Ave.exp","Boiling Point Ave.prd","Boiling Point Med.exp","Boiling Point Med.prd","Boiling Point Rng.exp","Boiling Point Rng.prd","MW","LogP Ave.exp","LogP Ave.prd","LogP Med.exp","LogP Med.prd","LogP Rng.exp","LogP Rng.prd"
"Nicosulfuron","111991094","111991-09-4","","","1","1","1",""," 402 (3)",""," 402","","     281 to 615","410.41","                              0.01 (1)","                              -0.258 (5)","                              0.01","                              -0.258","                                  0.01","                                  -1.15 to 3.15e-01"
"Nitrapyrin","1929824","1929-82-4","1","1","1","","1","      198 (2)","      254 (4)","      198","      254","          136 to 258","          245 to 262","230.9 ","                              3.36 (2)","                              3.11 (5)","                              3.31","                              3.11","                                  3.31","                                  2.52 to 3.45"
"Nitrapyrin","1929824","1929-82-4","1","1","1","","1","      198 (2)","      254 (4)","      198","      254","          136 to 258","          245 to 262","230.9 ","                              3.36 (2)","                              3.11 (5)","                              3.31","                              3.11","                                  3.31","                                  2.52 to 3.45"
"Nitrapyrin","1929824","1929-82-4","1","1","1","","1","      198 (2)","      254 (4)","      198","      254","          136 to 258","          245 to 262","230.9 ","                              3.36 (2)","                              3.11 (5)","                              3.31","                              3.11","                                  3.31","                                  2.52 to 3.45"
"Nitrotoluene, o-   ","88722","88-72-2","","1","1","","1","      224 (5)","      225 (5)","      225","      225","          222 to 226","          219 to 234","137.13","                              2.30 (1)","                              2.31 (5)","                              2.30","                              2.31","                                  2.30","                                  2.03 to 2.45"
"Norflurazon","27314132","27314-13-2","1","1","1","","1",""," 346 (4)",""," 346","","     304 to 387","303.67","                              2.30 (1)","                              2.26 (5)","                              2.30","                              2.26","                                  2.30","                                  1.98 to 2.45"
"Norflurazon","27314132","27314-13-2","1","1","1","","1",""," 346 (4)",""," 346","","     304 to 387","303.67","                              2.30 (1)","                              2.26 (5)","                              2.30","                              2.26","                                  2.30","                                  1.98 to 2.45"
"Norflurazon","27314132","27314-13-2","1","1","1","","1",""," 346 (4)",""," 346","","     304 to 387","303.67","                              2.30 (1)","                              2.26 (5)","                              2.30","                              2.26","                                  2.30","                                  1.98 to 2.45"
"Octogen","2691410","2691-41-0","","","","","",""," 484 (4)",""," 484","","     287 to 906","296.15","                              0.16 (1)","                              -0.695 (5)","                              0.16","                              -0.695","                                  0.16","                                  -2.92 to 0.82"
"Oryzalin","19044883","19044-88-3","1","1","1","","1",""," 407 (4)",""," 407","","     298 to 514","346.36","                              3.73 (1)","                              3.04 (5)","                              3.73","                              3.04","                                  3.73","                                  2.59 to 3.45"
"Oryzalin","19044883","19044-88-3","1","1","1","","1",""," 407 (4)",""," 407","","     298 to 514","346.36","                              3.73 (1)","                              3.04 (5)","                              3.73","                              3.04","                                  3.73","                                  2.59 to 3.45"
"Oxadiazon","19666309","19666-30-9","1","1","1","","1",""," 377 (4)",""," 377","","     317 to 431","345.22","                              4.80 (1)","                              4.59 (5)","                              4.80","                              4.59","                                  4.80","                                  4.51 to 4.81"
"Oxadiazon","19666309","19666-30-9","1","1","1","","1",""," 377 (4)",""," 377","","     317 to 431","345.22","                              4.80 (1)","                              4.59 (5)","                              4.80","                              4.59","                                  4.80","                                  4.51 to 4.81"
"Oxyfluorfen","42874033","42874-03-3","1","1","1","","1","      358 (1)","      372 (4)","      358","      372","          358","          344 to 396","361.7 ","                              4.73 (1)","                              4.47 (5)","                              4.73","                              4.47","                                  4.73","                                  3.62 to 5.21"
