Iter	V_dist	k_e	C_rest_1.1	C_rest_1.2	C_rest_1.3	C_rest_1.4	C_rest_1.5	C_rest_1.6	C_rest_1.7	C_rest_1.8	C_rest_1.9	C_rest_1.10	C_rest_1.11	C_rest_1.12	C_rest_1.13	C_rest_1.14
90	0.421806	0.559093	10.6703	17.5884	21.7657	23.9666	24.5926	22.5201	16.1191	10.4089	3.81475	1.30288	0.142732	0.0153497	0.00163017	0.000153932
91	0.334551	0.382171	13.7608	23.223	29.4525	33.2691	36.0264	34.9421	28.3463	20.9993	10.4179	4.93792	1.07745	0.233661	0.0506351	0.010914
92	0.0812829	0.529708	55.5797	91.9712	114.274	126.353	130.786	120.877	88.2745	58.2657	22.4115	8.06904	0.988285	0.119611	0.0144291	0.00173871
93	0.637338	0.370074	7.23454	12.229	15.5361	17.5807	19.1097	18.6102	15.2336	11.3968	5.77787	2.80267	0.641551	0.146129	0.0332387	0.00753418
94	0.461062	0.181844	10.2459	17.7699	23.1946	27.0036	31.1942	32.448	30.7078	26.9462	19.325	13.5133	6.53849	3.15945	1.5265	0.737584
95	0.795925	0.123931	5.97986	10.4545	13.7625	16.1674	19.0421	20.2303	20.0604	18.5271	14.8306	11.6247	7.08729	4.31718	2.62983	1.602
96	0.416191	0.607508	10.7479	17.6036	21.6421	23.6697	23.9455	21.6007	14.9693	9.33228	3.16441	0.992506	0.090546	0.00797725	0.000686709	5.56376e-05
97	0.798504	0.59168	5.61322	9.21296	11.3508	12.4416	12.6447	11.4623	8.02699	5.06164	1.76002	0.567388	0.0549138	0.00514099	0.000473197	4.25546e-05
98	0.152004	0.606545	29.4317	48.2113	59.2794	64.8416	65.6158	59.2078	41.0582	25.6142	8.7005	2.73357	0.249623	0.0221085	0.00201513	0.000282008
99	0.610131	0.569106	7.36738	12.1278	14.9879	16.4804	16.8608	15.3915	10.9425	7.01445	2.52947	0.848549	0.0894525	0.00915928	0.00105326	0.000127031
100	0.745266	0.733362	5.90715	9.51812	11.5066	12.3694	12.0739	10.4914	6.71289	3.83996	1.07792	0.27466	0.0159488	0.000831748	3.98158e-05	1.45497e-06
101	0.383706	0.855925	11.2974	17.9197	21.32	22.5496	21.2909	17.8763	10.6467	5.64625	1.34685	0.287409	0.0112397	0.000369757	6.60167e-06	5.17125e-07
102	0.105802	0.510055	42.8065	71.0192	88.4805	98.1082	102.151	95.0019	70.3232	47.1098	18.7264	6.98747	0.924564	0.119818	0.0154635	0.00196262
103	0.0861076	0.313769	53.9361	91.8722	117.655	134.257	148.561	147.487	125.936	98.7052	55.4	29.9436	8.56873	2.44321	0.696111	0.198234
104	0.396883	0.288104	11.7407	20.0682	25.7947	29.5481	32.9668	33.0218	28.7548	23.0281	13.547	7.6956	2.43833	0.770156	0.243314	0.0768607
105	0.277362	0.862964	15.6152	24.7461	29.4152	31.0831	29.2935	24.5491	14.564	7.69223	1.81903	0.384416	0.0146489	0.000525369	-3.3604e-05	-2.66425e-06
106	0.655347	0.815184	6.64867	10.6009	12.679	13.482	12.8689	10.9265	6.66009	3.61832	0.909047	0.205052	0.00902481	0.000396528	3.07016e-05	1.94336e-06
107	0.792085	0.51985	5.7107	9.4622	11.7728	13.0356	13.533	12.5467	9.22446	6.13393	2.39843	0.879074	0.111895	0.0139984	0.00172723	0.000219874
108	0.220878	0.836635	19.6734	31.2822	37.3108	39.5621	37.5459	31.691	19.0811	10.2347	2.50093	0.54757	0.0227593	0.000875457	3.79996e-05	-2.25325e-06
109	0.298785	0.877819	14.4685	22.8858	27.152	28.6365	26.8824	22.4391	13.2027	6.91392	1.60561	0.333127	0.0122717	0.000418279	-3.75799e-06	-9.32636e-06
110	0.363492	0.890887	11.8734	18.7499	22.2079	23.3826	21.8752	18.1958	10.6303	5.5255	1.26358	0.25768	0.00903341	0.000279395	2.85217e-05	-5.28586e-06
111	0.844864	0.565548	5.32287	8.76649	10.8393	11.9245	12.2125	11.1604	7.95382	5.11192	1.85403	0.625905	0.0668664	0.00700177	0.000719026	7.68724e-05
112	0.592677	0.770371	7.39336	11.8561	14.2635	15.2572	14.7417	12.6745	7.93112	4.43045	1.18121	0.284395	0.0144853	0.000666678	3.52828e-05	7.10877e-06
113	0.3299	0.618408	13.5404	22.1454	27.1856	29.6875	29.939	26.9174	18.5209	11.4571	3.81946	1.17543	0.102821	0.00870686	0.000706872	4.58734e-05
114	0.0791144	0.366174	58.3099	98.6174	125.356	141.931	154.458	150.622	123.649	92.8023	47.3741	23.1494	5.38146	1.24483	0.287686	0.0665417
115	0.45828	0.527834	9.86027	16.3204	20.2833	22.4334	23.2337	21.4861	15.7102	10.384	4.00664	1.44758	0.178777	0.0216735	0.00255833	0.000292125
116	0.472949	0.881088	9.13672	14.4461	17.1319	18.0609	16.9402	14.1276	8.2978	4.33763	1.00351	0.207237	0.00754694	0.000225785	2.92686e-06	-2.50922e-07
117	0.167665	0.890377	25.7428	40.6543	48.1553	50.7059	47.4432	39.4684	23.0641	11.9921	2.74384	0.560007	0.0197458	0.000650664	0.000180129	8.40961e-06
118	0.0660659	0.0918223	72.3426	127.039	168.031	198.391	236.225	253.972	258.543	245.738	209.166	174.706	121.088	83.8698	58.09	40.2343
119	0.0651144	0.0891378	73.4253	128.988	170.678	201.601	240.267	258.576	263.81	251.352	215.048	180.576	126.504	88.5657	62.005	43.4112
120	0.720581	0.430935	6.34909	10.6453	13.4089	15.0384	16.0396	15.306	11.9827	8.53622	3.88576	1.67921	0.302303	0.0539962	0.00959891	0.00170131
121	0.513163	0.101619	9.30173	16.3123	21.5446	25.3981	30.141	32.2877	32.6051	30.719	25.6611	21.0219	14.0105	9.33133	6.21456	4.13883
122	0.73973	0.623805	6.03453	9.86252	12.0984	13.202	13.293	11.9314	8.18061	5.04152	1.66651	0.508131	0.0436313	0.00365104	0.000294813	1.97764e-05
123	0.74017	0.164595	6.39655	11.1201	14.5516	16.9865	19.7355	20.6577	19.8217	17.6592	13.0844	9.46561	4.9063	2.53996	1.31488	0.68067
124	0.849132	0.727059	5.18872	8.36734	10.1236	10.892	10.6506	9.27174	5.95545	3.42077	0.968991	0.249335	0.0147083	0.000805516	4.93925e-05	6.54285e-06
125	0.419218	0.757862	10.469	16.8154	20.263	21.7111	21.0494	18.1624	11.4507	6.44721	1.74891	0.429137	0.0227709	0.00118848	0.000101181	1.19675e-05
126	0.457029	0.593833	9.80453	16.0875	19.8148	21.7126	22.0532	19.9774	13.9699	8.79506	3.04794	0.97896	0.0938677	0.00886762	0.000795663	9.89731e-05
